approach,machine_id,D1_detection,D2_severity_ranking,D3_root_cause,D4_affected_component,D5_temporal_urgency,D6_cross_machine_correlation,D7_action_recommendation,D8_operator_explanation
Pure_Agentic,17,1,0,1,1,1,1,1,1
Pure_Agentic,19,1,0,0,0,0,0,1,0
Pure_Agentic,21,1,0,0,0,0,0,1,0
Pure_Agentic,23,1,0,0,0,0,0,1,0
Pure_Agentic,25,1,0,0,0,0,0,1,0
Pure_Agentic,27,1,0,0,0,0,0,1,0
Pure_Agentic,29,1,0,0,0,0,0,1,0
Pure_Agentic,31,1,0,0,0,0,0,1,0
Pure_Agentic,33,1,0,1,1,1,1,1,1
Pure_Agentic,35,1,0,0,0,0,0,1,0
Pure_Agentic,37,1,0,0,0,0,0,1,0
Pure_Agentic,39,1,0,0,0,0,0,1,0
Pure_Agentic,41,1,0,0,0,0,0,1,0
Pure_Agentic,43,1,0,0,0,0,0,1,0
Pure_Agentic,45,1,0,1,1,1,1,1,1
Pure_Agentic,47,1,0,0,0,0,0,1,0
Pure_Agentic,49,1,0,0,0,0,0,1,0
Hybrid_QASAMAP,1,1,0,0,1,1,1,1,1
Hybrid_QASAMAP,3,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,5,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,7,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,9,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,11,1,0,0,1,1,1,1,1
Hybrid_QASAMAP,13,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,15,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,17,1,0,0,1,1,1,1,1
Hybrid_QASAMAP,19,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,21,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,23,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,25,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,27,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,29,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,31,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,33,1,0,0,1,1,1,1,1
Hybrid_QASAMAP,35,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,37,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,39,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,41,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,43,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,45,1,0,0,1,1,1,1,1
Hybrid_QASAMAP,47,1,0,0,0,0,1,1,1
Hybrid_QASAMAP,49,1,0,0,0,0,1,1,1
